Question,Ideal Answer,modelPrediction,bleu_score
What are the documents required to apply for the new pan,"If you have Aadhaar card
No other document is required. You can get your pan card through your Aadhaar card in 10 minutes.

If you don’t have an Aadhaar card
- Passport(Any Country) / OCI Card
- Passport Size Photograph
- Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill). If you have any further questions or need assistance with the application process, please feel free to contact SBNRI.","Answer: The documents required to apply for a new PAN card are an application in the prescribed form, proof of identity such as passport or driver's license, proof of address such as bank statement or utility bill, and a recent photograph.",0.03290562122561986
What is the cost/fees of a PAN card?,"The cost of applying for a new PAN card is Rs 2500 for E-PAN. If you want it to be couriered, it will cost Rs 1200 extra for physical delivery to your address. Kindly note that this cost is only for applying for a new PAN card and not for linking PAN with Aadhaar.","Answer: The cost/fees for a PAN card varies depending on the type of card and the processing charges. Generally, the cost includes a one-time application fee, an annual maintenance fee, and other miscellaneous charges.",3.599329923712589e-155
Can I take the delivery of Pan card at Indian address,"Yes, you can take the delivery of your PAN card only at an Indian address mentioned in your Aadhaar card. While applying for a new PAN card or requesting corrections, you can provide your Indian address as the delivery address. Make sure to provide accurate and complete address details to ensure successful delivery.","Answer: Yes, you can take the delivery of your Pan card at your Indian address.",0.0555303428565862
How long does it usually take to receive the PAN card after applying?,"Once the payment is made, we will contact you and initiate the process. Pan card will be issued in 3 weeks after submitting the application. 

(You can get an e-Pan Card in under 10 minutes, if you have an Aadhaar card.)",Answer:It usually takes about 10-15 days to receive the PASS card after applying.,1.4652080622170925e-232
How to apply for PAN card,"Here are the steps for *PAN CARD* processing. 

- Visit SBNRI app
- Navigate to Services > NRI Pan Card > Apply New PAN
- Select the required form of PAN card and proceed with the payment
- Our team will get in touch with you to ask for the following documents:
    - Passport(Any Country) / OCI Card
    - Passport Size Photograph
    - Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill)","Answer: To apply for a PASS Card, you will need to fill out an application form and provide proof of identity and nationality such as a birth certificate or passport. You can submit the form and documents in person at your nearest Passport Office or by post. The application process and fees may vary depending on your country of residence.",9.059478317487015e-232
What is the process to apply for PAN card,"Here are the steps for *PAN CARD* processing. 

- Visit SBNRI app
- Navigate to Services > NRI Pan Card > Apply New PAN
- Select the required form of PAN card and proceed with the payment
- Our team will get in touch with you to ask for the following documents:
    - Passport(Any Country) / OCI Card
    - Passport Size Photograph
    - Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill)","Answer: The process to apply for a PASS card includes completing an application form, providing proof of identity and nationality, attending an interview, and submitting relevant documents.",1.6891995374762682e-232
Can I apply for a PAN card if I am a non-resident Indian (NRI)?,"Yes, as an NRI, you can apply for a PAN card. The process for applying for a PAN card is the same for both residents and NRIs. However, if you are an OCI holder or a person of Indian origin who holds foreign citizenship, you will need to fill Form 49AA to apply for a PAN card.","Answer: Yes, you can apply for a PAN card if you are a Non-Resident Indian (NRI).",0.037701695192063116
Can I apply for pan card without Aadhaar?,"Yes, NRIs can apply for a PAN card without an Aadhaar Card? They can simply do so by filling out either of the forms – 49A (for citizens of India) or Form 49AA (for foreign citizens).","Answer:Yes, you can apply for a PAN card without Aadhaar, but you will have to provide alternative documents such as passport, driver's license, Voter ID card or bank statement as proof of identity and address.",0.1663967368381771
What are the charges of linking Pan & Aadhaar,"The charges for linking Pan & Aadhaar is INR 2000/-, including the penalty charges to be paid for the delay in linking Pan & Aadhaar. It is important to link your PAN and Aadhaar cards to avoid any legal complications in India.","
Answer: The charges for linking Aadhaar and PAN are Rs. 50 per transaction, plus applicable taxes.",0.03467473351488966
How long does Pan & Aadhaar linking take,It takes up to 6 to 7 days for PAN Aadhaar linking for NRIs.,Answer:Pan & Aadhaar linking takes about 10-15 minutes depending on the system and the number of people in the queue.,4.446380555605557e-155
