Question,Ideal Answer,modelPrediction,bleu_score
What are the documents required to apply for the new pan,"If you have Aadhaar card
No other document is required. You can get your pan card through your Aadhaar card in 10 minutes.

If you don’t have an Aadhaar card
- Passport(Any Country) / OCI Card
- Passport Size Photograph
- Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill). If you have any further questions or need assistance with the application process, please feel free to contact SBNRI.","The documents required to apply for a new PAN card are as follows:

1. Passport (Any Country) / OCI Card: This serves as proof of identity for the applicant.
2. Passport Size Photograph: A recent photograph of the applicant is needed for the PAN card application.
3. Overseas address proof with zip code: The applicant must provide a document that proves their overseas address. This can be supported by an Indian NRO/NRE Account statement, overseas bank statement, or utility bill.

If the applicant has an Aadhaar card, no other documents are required. They can apply for a PAN card using their Aadhaar card and receive it within 10 minutes. However, if they do not have an Aadhaar card, they must provide the aforementioned documents to complete the PAN card application process.",0.07473448975931342
What is the cost/fees of a PAN card?,"The cost of applying for a new PAN card is Rs 2500 for E-PAN. If you want it to be couriered, it will cost Rs 1200 extra for physical delivery to your address. Kindly note that this cost is only for applying for a new PAN card and not for linking PAN with Aadhaar.","The cost of a PAN card depends on whether you opt for an e-PAN card or a physical PAN card. If you choose to apply for an e-PAN card through ABC, it will cost you INR 2500. However, if you want the physical PAN card to be couriered to your address, there will be an additional cost of INR 1200, making the total cost INR 3700.

It is important to note that these costs are applicable if you are applying for a new PAN card. If you need to update or correct any details on your existing PAN card, there may be a separate process and fees involved.",0.08180501836568696
Can I take the delivery of Pan card at Indian address,"Yes, you can take the delivery of your PAN card only at an Indian address mentioned in your Aadhaar card. While applying for a new PAN card or requesting corrections, you can provide your Indian address as the delivery address. Make sure to provide accurate and complete address details to ensure successful delivery.","Yes, you can take the delivery of your PAN card at an Indian address. While applying for a new PAN card or requesting corrections, you can provide your Indian address as the delivery address. It is important to provide accurate and complete address details to ensure successful delivery.",0.7314336189905986
How long does it usually take to receive the PAN card after applying?,"Once the payment is made, we will contact you and initiate the process. Pan card will be issued in 3 weeks after submitting the application. 

(You can get an e-Pan Card in under 10 minutes, if you have an Aadhaar card.)","The time it typically takes to receive the PAN card after applying can vary. In general, it takes around 2-3 weeks for the process of reprinting a lost PAN card to be completed. However, this timeframe is an estimate and can be influenced by factors such as the workload of the authorities and their responsiveness. It is important to note that this timeframe can vary and there may be instances where it takes longer or shorter to receive the PAN card.",3.215958776597205e-155
How to apply for PAN card,"Here are the steps for *PAN CARD* processing. 

- Visit SBNRI app
- Navigate to Services > NRI Pan Card > Apply New PAN
- Select the required form of PAN card and proceed with the payment
- Our team will get in touch with you to ask for the following documents:
    - Passport(Any Country) / OCI Card
    - Passport Size Photograph
    - Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill)","To apply for a PAN card, you can follow these steps:

1. Visit the ABC app.
2. Navigate to Services > NRI Pan Card > Apply New PAN.
3. Select the required form of PAN card and proceed with the payment.
4. Once you have completed the payment, our team will reach out to you to request the necessary documents.
5. If you have an Aadhaar card, no other documents are required. You can obtain your PAN card using your Aadhaar card in just 10 minutes.
6. However, if you do not have an Aadhaar card, you will need to provide the following documents:
   - Passport (from any country) or OCI Card.
   - Passport size photograph.
   - Overseas address proof with zip code. This can be supported by documents such as an Indian NRO/NRE account statement, overseas bank statement, or utility bill.

By following these steps and providing the required documents, you can successfully apply for a PAN card.",0.20321265491869628
What is the process to apply for PAN card,"Here are the steps for *PAN CARD* processing. 

- Visit SBNRI app
- Navigate to Services > NRI Pan Card > Apply New PAN
- Select the required form of PAN card and proceed with the payment
- Our team will get in touch with you to ask for the following documents:
    - Passport(Any Country) / OCI Card
    - Passport Size Photograph
    - Overseas address proof with zip code (Supporting documents - Indian NRO/NRE Account statement or Overseas bank statement or Utility bill)","The process to apply for a PAN card involves the following steps:

1. Visit the ABC app or website.
2. Navigate to the Services section and select NRI Pan Card.
3. Choose the option to apply for a new PAN card.
4. Select the type of PAN card you need and proceed to make the payment.
5. After the payment, our team will contact you to request the necessary documents.
6. If you have an Aadhaar card, no other documents are required. You can get your PAN card in just 10 minutes using your Aadhaar card.
7. If you don't have an Aadhaar card, you will need to provide the following documents:
   - Passport (from any country) or OCI Card
   - Passport Size Photograph
   - Overseas address proof with zip code (such as Indian NRO/NRE Account statement, overseas bank statement, or utility bill)

Once you have submitted all the required documents, your PAN card application will be processed.",0.15576061029569538
Can I apply for a PAN card if I am a non-resident Indian (NRI)?,"Yes, as an NRI, you can apply for a PAN card. The process for applying for a PAN card is the same for both residents and NRIs. However, if you are an OCI holder or a person of Indian origin who holds foreign citizenship, you will need to fill Form 49AA to apply for a PAN card.","Yes, as mentioned in the context, you can apply for a PAN card if you are a non-resident Indian (NRI). The process for applying for a PAN card is the same for both residents and NRIs. However, if you are an OCI holder or a person of Indian origin who holds foreign citizenship, you will need to fill Form 49AA to apply for a PAN card.",0.7700098794617437
Can I apply for pan card without Aadhaar?,"Yes, NRIs can apply for a PAN card without an Aadhaar Card? They can simply do so by filling out either of the forms – 49A (for citizens of India) or Form 49AA (for foreign citizens).","Yes, NRIs can apply for a PAN card without an Aadhaar card. They can do so by filling out either Form 49A (for citizens of India) or Form 49AA (for foreign citizens).",0.6918678971355973
What are the charges of linking Pan & Aadhaar,"The charges for linking Pan & Aadhaar is INR 2000/-, including the penalty charges to be paid for the delay in linking Pan & Aadhaar. It is important to link your PAN and Aadhaar cards to avoid any legal complications in India.","The charges for linking Pan and Aadhaar are INR 2000, which includes penalty charges for any delay in linking Pan and Aadhaar.",0.1463897935161681
How long does Pan & Aadhaar linking take,It takes up to 6 to 7 days for PAN Aadhaar linking for NRIs.,Pan and Aadhaar linking can take up to 6 to 7 days for NRIs.,0.5202556880807584
